In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;TrgBook.allInstances()->forAll(b | b.articles->exists(a | a.title = 'BibTeXML to DocBook'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.4;0.4;0.7;1.0;0.0;0.03333333333333333;0.4;0.6324555320336759;0.0;40.0;0.4;0.4;1.0;0.0;0.25;26.666666666666668;1.0
TitledEntry_Title_NoArticle;0.0;0.95;0.95;0.975;1.0;0.0;0.4;0.95;0.9746794344808963;0.0;95.0;0.95;0.95;1.0;0.0;0.9047619047619048;1805.0;1.0
Article_NoTitle_Journal;0.0;0.17;0.17;0.585;1.0;0.0;0.024096385542168676;0.17;0.412310562561766;0.0;17.0;0.17;0.17;1.0;0.0;0.09289617486338798;3.4819277108433737;1.0
Article_Title_Journal;0.0;0.86;0.86;0.9299999999999999;1.0;0.0;0.14285714285714285;0.86;0.9273618495495703;0.0;86.0;0.86;0.86;1.0;0.0;0.7543859649122807;528.2857142857143;1.0
Author;0.0;0.99;0.99;0.995;1.0;0.0;2.0;0.99;0.99498743710662;0.0;99.0;0.99;0.99;1.0;0.0;0.9801980198019802;9801.0;1.0
Article_NoTitle_NoJournal;0.0;0.17;0.17;0.585;1.0;0.0;0.024096385542168676;0.17;0.412310562561766;0.0;17.0;0.17;0.17;1.0;0.0;0.09289617486338798;3.4819277108433737;1.0
UntitledEntry;0.0;0.62;0.62;0.81;1.0;0.0;0.05263157894736842;0.62;0.7874007874011811;0.0;62.0;0.62;0.62;1.0;0.0;0.4492753623188406;101.15789473684211;1.0
Main;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;100.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
TitledEntry_NoTitle_NoArticle;0.0;0.88;0.88;0.94;1.0;0.0;0.16666666666666666;0.88;0.9380831519646858;0.0;88.0;0.88;0.88;1.0;0.0;0.7857142857142857;645.3333333333334;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111
EXAM-WC;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;1.0;0.2222222222222222;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.8888888888888888;1.0;0.1111111111111111;0.2222222222222222;1.0
EXAM-AVG;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.5555555555555556;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5;0.5555555555555556;0.1111111111111111;0.2222222222222222;0.5555555555555556

OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.14035087719298245;0.2;0.48;0.24285714285714285;0.19999999999999996;-0.14492753623188406;0.009433962264150943;9.999250056245782E-6;0.23904572186687872;-0.14547859349066158;7.561643835616438;0.08;0.3323793532438758;0.2631578947368421;0.14547198003470918;0.3157894736842105;1.2307692307692308;0.391304347826087
TitledEntry_Title_NoArticle;0.04011461318051576;0.29473684210526313;0.33;0.6473684210526316;0.2947368421052632;0.11240465676435167;0.029850746268656716;0.29473684210526313;0.5428967140306369;0.14306584587982535;27.08219178082192;0.28;0.3728480237406132;0.0;0.143051227490636;0.19760479041916168;11.701492537313433;0.5179856115107914
Article_NoTitle_Journal;0.06989853438556934;0.21428571428571427;0.67;0.28361344537815125;0.3529411764705882;0.07236650131310184;0.017595307917888565;1.4874594770588298E-5;0.2750095491084634;0.07352125543954065;5.8493150684931505;0.06;0.43231789913454266;0.10725552050473186;0.2169934203871208;0.5037593984962406;1.0909090909090908;0.5837837837837837
Article_Title_Journal;-0.06318347509113001;0.2558139534883721;0.3;0.5207641196013288;0.2558139534883721;-0.12919254658385093;0.019064124783362217;1.259752672029118E-4;0.4483265302665723;-0.1335072430137809;21.123287671232877;0.22;0.33502110778227706;0.6972972972972973;0.11296041666848812;0.17647058823529413;6.914285714285715;0.46919431279620855
Author;0.007825600894354388;0.2828282828282828;0.29;0.6414141414141414;0.2828282828282829;0.026477541371158392;0.028169014084507043;0.2828282828282828;0.5318160234783105;0.06267511942419625;27.027397260273972;0.28;0.3192158688397802;0.0;0.0626610933830854;0.1695906432748538;11.04225352112676;0.5034965034965034
